upper_tier_local_authority_district_code_2019,upper_tier_local_authority_district_name_2019,imd_average_score,imd_decile
E06000001,Hartlepool,35.037,10
E06000002,Middlesbrough,40.46,10
E06000003,Redcar and Cleveland,29.792,8
E06000004,Stockton-on-Tees,25.79,7
E06000005,Darlington,25.657,7
E06000006,Halton,32.325,9
E06000007,Warrington,18.942,4
E06000008,Blackburn with Darwen,36.013,10
E06000009,Blackpool,45.039,10
E06000010,"Kingston upon Hull, City of",40.564,10
E06000011,East Riding of Yorkshire,15.605,2
E06000012,North East Lincolnshire,31.335,9
E06000013,North Lincolnshire,22.096,5
E06000014,York,11.727,1
E06000015,Derby,26.323,7
E06000016,Leicester,30.877,9
E06000017,Rutland,8.381,1
E06000018,Nottingham,34.891,10
E06000019,"Herefordshire, County of",18.89,4
E06000020,Telford and Wrekin,24.988,6
E06000021,Stoke-on-Trent,34.504,10
E06000022,Bath and North East Somerset,11.745,1
E06000023,"Bristol, City of",26.363,7
E06000024,North Somerset,15.825,3
E06000025,South Gloucestershire,11.66,1
E06000026,Plymouth,26.619,7
E06000027,Torbay,28.104,8
E06000030,Swindon,18.622,4
E06000031,Peterborough,27.821,8
E06000032,Luton,25.908,7
E06000033,Southend-on-Sea,22.375,5
E06000034,Thurrock,20.928,5
E06000035,Medway,23.936,6
E06000036,Bracknell Forest,10.241,1
E06000037,West Berkshire,9.952,1
E06000038,Reading,19.619,4
E06000039,Slough,22.965,6
E06000040,Windsor and Maidenhead,8.376,1
E06000041,Wokingham,5.846,1
E06000042,Milton Keynes,17.98,3
E06000043,Brighton and Hove,20.761,5
E06000044,Portsmouth,26.899,7
E06000045,Southampton,26.876,7
E06000046,Isle of Wight,23.294,6
E06000047,County Durham,26.793,7
E06000049,Cheshire East,14.475,2
E06000050,Cheshire West and Chester,18.083,3
E06000051,Shropshire,17.153,3
E06000052,Cornwall,23.072,6
E06000053,Isles of Scilly,12.005,1
E06000054,Wiltshire,13.447,2
E06000055,Bedford,18.932,4
E06000056,Central Bedfordshire,12.152,1
E06000057,Northumberland,22.079,5
E06000058,"Bournemouth, Christchurch and Poole",18.173,4
E06000059,Dorset,15.735,3
E08000001,Bolton,30.691,9
E08000002,Bury,23.682,6
E08000003,Manchester,40.005,10
E08000004,Oldham,33.155,9
E08000005,Rochdale,34.415,10
E08000006,Salford,34.21,10
E08000007,Stockport,20.826,5
E08000008,Tameside,31.374,9
E08000009,Trafford,16.088,3
E08000010,Wigan,25.713,7
E08000011,Knowsley,43.006,10
E08000012,Liverpool,42.412,10
E08000013,St. Helens,31.518,9
E08000014,Sefton,27.035,8
E08000015,Wirral,29.589,8
E08000016,Barnsley,29.933,9
E08000017,Doncaster,30.289,9
E08000018,Rotherham,29.55,8
E08000019,Sheffield,27.06,8
E08000021,Newcastle upon Tyne,29.79,8
E08000022,North Tyneside,22.279,5
E08000023,South Tyneside,31.509,9
E08000024,Sunderland,30.586,9
E08000025,Birmingham,38.067,10
E08000026,Coventry,25.613,7
E08000027,Dudley,24.103,6
E08000028,Sandwell,34.884,10
E08000029,Solihull,17.37,3
E08000030,Walsall,31.555,9
E08000031,Wolverhampton,32.102,9
E08000032,Bradford,34.666,10
E08000033,Calderdale,26.351,7
E08000034,Kirklees,25.151,6
E08000035,Leeds,27.301,8
E08000036,Wakefield,27.306,8
E08000037,Gateshead,28.217,8
E09000001,City of London,14.72,2
E09000002,Barking and Dagenham,32.768,9
E09000003,Barnet,16.148,3
E09000004,Bexley,16.273,3
E09000005,Brent,25.558,6
E09000006,Bromley,14.163,2
E09000007,Camden,20.131,5
E09000008,Croydon,22.477,6
E09000009,Ealing,22.71,6
E09000010,Enfield,25.781,7
E09000011,Greenwich,24.464,6
E09000012,Hackney,32.526,9
E09000013,Hammersmith and Fulham,22.27,5
E09000014,Haringey,27.956,8
E09000015,Harrow,15.031,2
E09000016,Havering,16.789,3
E09000017,Hillingdon,18.223,4
E09000018,Hounslow,21.487,5
E09000019,Islington,27.535,8
E09000020,Kensington and Chelsea,21.526,5
E09000021,Kingston upon Thames,11.381,1
E09000022,Lambeth,25.422,6
E09000023,Lewisham,26.661,7
E09000024,Merton,14.649,2
E09000025,Newham,29.577,8
E09000026,Redbridge,17.203,3
E09000027,Richmond upon Thames,9.425,1
E09000028,Southwark,25.811,7
E09000029,Sutton,13.987,2
E09000030,Tower Hamlets,27.913,8
E09000031,Waltham Forest,25.209,6
E09000032,Wandsworth,16.611,3
E09000033,Westminster,20.339,5
E10000002,Buckinghamshire,10.052,1
E10000003,Cambridgeshire,13.858,2
E10000006,Cumbria,21.261,5
E10000007,Derbyshire,18.392,4
E10000008,Devon,16.607,3
E10000011,East Sussex,19.77,4
E10000012,Essex,17.016,3
E10000013,Gloucestershire,14.932,2
E10000014,Hampshire,12.693,2
E10000015,Hertfordshire,12.732,2
E10000016,Kent,19.538,4
E10000017,Lancashire,23.443,6
E10000018,Leicestershire,12.33,1
E10000019,Lincolnshire,20.29,5
E10000020,Norfolk,21.183,5
E10000021,Northamptonshire,18.605,4
E10000023,North Yorkshire,14.762,2
E10000024,Nottinghamshire,18.999,4
E10000025,Oxfordshire,11.656,1
E10000027,Somerset,18.553,4
E10000028,Staffordshire,16.567,3
E10000029,Suffolk,18.46,4
E10000030,Surrey,10.087,1
E10000031,Warwickshire,15.64,2
E10000032,West Sussex,14.429,2
E10000034,Worcestershire,18.089,4
